Generation:0, Observation:[[49, 43], [45, 49], [44, 56], [54, 57], [53, 46], [52, 41], [49, 51], [47, 50], [57, 54], [48, 50], [46, 46], [45, 56], [50, 46], [56, 44], [44, 51], [47, 59], [49, 59], [45, 51], [56, 49], [53, 55], [47, 51], [54, 57], [55, 47], [49, 49], [57, 44]], Rewards:[10, 7, 7, 17, 9, 13, 10, 10, 16, 11, 9, 6, 12, 9, 9, 10, 13, 10, 11, 13, 11, 17, 10, 8, 9]
Generation:1, Observation:[[49, 43], [45, 49], [43, 56], [54, 58], [54, 46], [51, 41], [48, 51], [47, 50], [57, 54], [48, 50], [47, 46], [46, 56], [50, 47], [57, 44], [44, 52], [47, 60], [50, 59], [45, 51], [56, 50], [54, 55], [48, 51], [54, 56], [55, 47], [49, 49], [57, 43]], Rewards:[12, 7, 9, 14, 7, 14, 10, 9, 16, 10, 7, 7, 12, 10, 13, 10, 16, 10, 13, 13, 10, 13, 9, 10, 9]
Generation:2, Observation:[[48, 43], [45, 49], [44, 56], [54, 59], [54, 45], [50, 41], [49, 51], [47, 50], [57, 54], [48, 50], [47, 46], [46, 55], [50, 46], [57, 45], [44, 53], [47, 59], [51, 59], [45, 51], [56, 49], [54, 54], [49, 51], [54, 55], [55, 47], [50, 49], [57, 44]], Rewards:[9, 7, 10, 14, 9, 11, 11, 9, 16, 11, 8, 9, 12, 8, 10, 8, 15, 11, 11, 13, 11, 14, 11, 11, 9]
Generation:3, Observation:[[48, 43], [45, 49], [45, 56], [54, 58], [54, 44], [49, 41], [50, 51], [47, 50], [57, 54], [48, 50], [47, 46], [45, 55], [50, 45], [56, 45], [44, 52], [47, 59], [50, 59], [45, 51], [56, 48], [53, 54], [49, 51], [54, 54], [55, 47], [50, 49], [57, 45]], Rewards:[8, 7, 9, 15, 10, 10, 11, 9, 17, 11, 9, 10, 11, 9, 11, 9, 13, 8, 11, 13, 11, 13, 11, 11, 9]
Generation:4, Observation:[[47, 43], [45, 49], [45, 56], [54, 57], [54, 45], [48, 41], [51, 51], [47, 50], [57, 54], [48, 50], [47, 46], [46, 55], [50, 46], [55, 45], [44, 51], [47, 58], [51, 59], [45, 51], [56, 49], [54, 54], [50, 51], [54, 53], [55, 47], [50, 49], [57, 46]], Rewards:[5, 6, 10, 15, 8, 9, 12, 9, 17, 12, 7, 11, 9, 11, 9, 10, 16, 9, 11, 13, 10, 13, 11, 10, 10]
Generation:5, Observation:[[47, 43], [45, 48], [44, 56], [54, 56], [54, 44], [47, 41], [51, 51], [47, 50], [57, 54], [48, 50], [47, 46], [46, 56], [50, 45], [55, 45], [44, 51], [47, 58], [50, 59], [45, 51], [56, 50], [53, 54], [50, 51], [54, 54], [55, 48], [50, 49], [57, 47]], Rewards:[5, 7, 9, 14, 10, 5, 13, 8, 16, 12, 7, 10, 9, 11, 9, 10, 13, 9, 13, 13, 11, 13, 11, 10, 12]
Generation:6, Observation:[[47, 43], [45, 48], [45, 56], [54, 55], [54, 43], [48, 41], [51, 51], [47, 50], [57, 54], [48, 50], [47, 46], [47, 56], [50, 44], [54, 45], [44, 52], [47, 57], [51, 59], [46, 51], [56, 49], [54, 54], [50, 51], [54, 53], [55, 48], [50, 49], [57, 48]], Rewards:[4, 5, 10, 14, 9, 9, 13, 8, 17, 11, 6, 10, 10, 9, 11, 10, 15, 10, 13, 13, 11, 13, 11, 10, 10]
Generation:7, Observation:[[47, 43], [45, 48], [46, 56], [54, 54], [54, 44], [47, 41], [51, 51], [47, 50], [57, 54], [48, 50], [47, 46], [47, 56], [50, 45], [54, 45], [44, 51], [47, 58], [52, 59], [46, 51], [56, 50], [55, 54], [50, 51], [54, 54], [55, 48], [50, 49], [57, 47]], Rewards:[4, 6, 10, 13, 9, 4, 13, 7, 16, 12, 6, 10, 9, 8, 9, 9, 16, 9, 13, 15, 12, 13, 11, 10, 12]
Generation:8, Observation:[[47, 43], [45, 48], [45, 56], [53, 54], [54, 45], [47, 41], [51, 51], [47, 51], [57, 54], [48, 50], [47, 46], [47, 56], [50, 46], [54, 45], [44, 50], [47, 59], [52, 58], [45, 51], [56, 50], [55, 55], [50, 51], [54, 55], [55, 48], [50, 49], [57, 48]], Rewards:[4, 5, 10, 13, 9, 4, 13, 10, 16, 12, 5, 10, 9, 9, 6, 10, 16, 9, 13, 16, 11, 15, 10, 11, 12]
Generation:9, Observation:[[47, 43], [45, 49], [45, 56], [53, 55], [54, 44], [46, 41], [51, 51], [47, 51], [57, 54], [48, 50], [47, 46], [47, 56], [50, 47], [54, 45], [44, 49], [47, 58], [53, 58], [45, 51], [56, 51], [55, 56], [50, 51], [54, 54], [55, 48], [50, 49], [57, 48]], Rewards:[5, 5, 9, 14, 10, 4, 12, 10, 16, 13, 6, 10, 10, 9, 6, 11, 16, 8, 15, 17, 10, 13, 10, 9, 11]
Generation:10, Observation:[[47, 43], [45, 49], [46, 56], [53, 56], [54, 45], [45, 41], [51, 51], [47, 51], [57, 54], [48, 50], [47, 46], [47, 57], [50, 47], [54, 45], [44, 50], [47, 59], [52, 58], [45, 51], [56, 51], [55, 55], [50, 51], [54, 55], [55, 48], [50, 49], [57, 47]], Rewards:[5, 5, 11, 16, 9, 1, 12, 10, 16, 12, 7, 11, 10, 9, 7, 11, 16, 8, 15, 15, 11, 14, 12, 10, 11]
