Generation:0, Observation:[[46, 57], [58, 56], [45, 55], [44, 52], [50, 46], [49, 50], [52, 53], [47, 53], [59, 52], [55, 44], [50, 49], [37, 54], [49, 39], [50, 52], [45, 61], [47, 50], [48, 57], [40, 41], [51, 55], [48, 41], [53, 48], [40, 46], [46, 48], [45, 58], [54, 53]], Rewards:[11, 19, 10, 8, 12, 13, 14, 10, 12, 14, 13, 13, 11, 11, 8, 10, 14, 2, 15, 9, 12, 4, 8, 11, 13]
Generation:1, Observation:[[51, 57], [56, 56], [45, 55], [44, 47], [50, 47], [49, 52], [51, 53], [49, 53], [59, 50], [55, 44], [50, 49], [37, 54], [49, 39], [52, 52], [45, 61], [42, 50], [48, 58], [40, 40], [51, 55], [46, 41], [51, 48], [40, 49], [47, 48], [45, 58], [55, 53]], Rewards:[16, 19, 11, 3, 10, 10, 14, 11, 11, 13, 13, 13, 9, 15, 11, 7, 13, 2, 14, 9, 12, 6, 8, 12, 13]
Generation:2, Observation:[[48, 57], [55, 56], [46, 55], [44, 47], [50, 48], [49, 52], [51, 53], [49, 53], [59, 49], [55, 43], [50, 48], [37, 56], [49, 39], [57, 52], [45, 61], [44, 50], [48, 56], [40, 40], [51, 57], [41, 41], [51, 48], [40, 48], [45, 48], [45, 58], [55, 53]], Rewards:[13, 14, 14, 4, 12, 11, 14, 12, 12, 13, 12, 13, 9, 12, 11, 8, 12, 2, 18, 4, 11, 4, 5, 14, 13]
Generation:3, Observation:[[46, 57], [58, 56], [48, 55], [44, 46], [49, 48], [49, 52], [49, 53], [49, 53], [59, 49], [55, 42], [50, 48], [37, 57], [49, 39], [57, 52], [45, 61], [43, 50], [48, 54], [40, 40], [51, 59], [45, 41], [51, 48], [40, 47], [45, 48], [45, 58], [56, 53]], Rewards:[12, 18, 10, 4, 10, 12, 12, 12, 14, 14, 13, 13, 9, 12, 10, 9, 14, 2, 18, 6, 13, 4, 5, 11, 14]
Generation:4, Observation:[[43, 57], [56, 56], [47, 55], [44, 47], [49, 46], [49, 52], [49, 53], [49, 52], [59, 48], [53, 42], [50, 48], [37, 57], [49, 39], [57, 52], [45, 61], [46, 50], [48, 54], [40, 40], [51, 58], [47, 41], [52, 48], [40, 48], [45, 48], [45, 58], [59, 53]], Rewards:[12, 17, 12, 5, 9, 11, 10, 11, 9, 15, 13, 14, 9, 12, 10, 10, 12, 2, 19, 9, 13, 6, 6, 9, 14]
Generation:5, Observation:[[43, 57], [56, 57], [47, 55], [44, 46], [49, 48], [49, 53], [49, 53], [48, 52], [59, 49], [55, 42], [50, 48], [37, 57], [49, 39], [61, 52], [45, 61], [48, 50], [48, 56], [40, 40], [51, 58], [47, 41], [52, 48], [40, 48], [45, 48], [45, 58], [59, 53]], Rewards:[11, 17, 11, 4, 11, 12, 12, 10, 12, 15, 12, 13, 10, 12, 10, 12, 10, 2, 19, 8, 11, 5, 5, 10, 14]
Generation:6, Observation:[[42, 57], [59, 57], [49, 55], [44, 47], [49, 45], [49, 53], [49, 53], [45, 52], [59, 47], [53, 42], [50, 48], [37, 57], [49, 41], [60, 52], [45, 60], [48, 50], [48, 57], [40, 40], [54, 58], [47, 41], [53, 48], [40, 49], [45, 48], [45, 58], [58, 53]], Rewards:[9, 16, 12, 5, 9, 12, 12, 8, 7, 13, 13, 12, 10, 13, 11, 11, 9, 1, 20, 9, 12, 9, 7, 11, 14]
Generation:7, Observation:[[43, 57], [58, 57], [50, 55], [44, 43], [49, 47], [49, 53], [49, 53], [45, 52], [59, 46], [52, 42], [50, 48], [37, 53], [49, 41], [62, 52], [45, 60], [51, 50], [48, 51], [40, 40], [54, 57], [45, 41], [52, 48], [40, 49], [45, 48], [45, 58], [57, 53]], Rewards:[11, 18, 15, 6, 9, 11, 11, 9, 8, 14, 12, 11, 7, 14, 11, 14, 11, 1, 18, 5, 12, 8, 6, 11, 15]
Generation:8, Observation:[[43, 57], [58, 57], [50, 55], [44, 43], [49, 47], [49, 53], [49, 53], [44, 52], [59, 43], [54, 42], [50, 48], [37, 53], [49, 41], [65, 52], [45, 60], [51, 50], [48, 51], [40, 40], [54, 57], [44, 41], [48, 48], [40, 50], [45, 48], [45, 58], [57, 53]], Rewards:[10, 19, 15, 6, 9, 12, 12, 10, 10, 12, 12, 12, 8, 13, 12, 14, 10, 1, 17, 4, 9, 7, 8, 12, 15]
Generation:9, Observation:[[44, 57], [58, 57], [50, 55], [44, 42], [49, 47], [49, 53], [49, 53], [47, 52], [59, 40], [56, 42], [50, 48], [37, 52], [49, 41], [65, 52], [45, 60], [51, 50], [48, 51], [40, 40], [54, 56], [48, 41], [48, 48], [40, 46], [45, 48], [45, 58], [55, 53]], Rewards:[10, 20, 15, 5, 11, 12, 12, 10, 10, 15, 15, 10, 9, 13, 10, 14, 9, 1, 17, 7, 10, 6, 7, 10, 15]
Generation:10, Observation:[[46, 57], [57, 57], [50, 55], [44, 43], [49, 50], [49, 53], [49, 53], [47, 52], [59, 41], [56, 46], [50, 48], [37, 52], [49, 41], [62, 52], [45, 60], [51, 55], [48, 51], [40, 40], [54, 56], [50, 41], [48, 48], [40, 45], [45, 48], [45, 58], [53, 53]], Rewards:[11, 20, 14, 5, 10, 13, 13, 11, 12, 12, 14, 9, 8, 12, 10, 16, 10, 1, 18, 11, 9, 5, 5, 11, 13]
